question_id,question_text,answer_text,is_correct
15,"Cum pot fi divizate științele juridice?","teoria generală a dreptului, științele juridice istorice, științele juridice de ramură și auxiliare",1
15,"Cum pot fi divizate științele juridice?","teoria generală a dreptului, științele juridice de ramură și auxiliare",0
15,"Cum pot fi divizate științele juridice?","științele juridice de ramură și auxiliare",0
16,"Ce reprezintă dreptul pozitiv?","ramuri de drept ce nu cuprind norme de sancționare",0
16,"Ce reprezintă dreptul pozitiv?","drept nescris și superior celui dintâi",0
16,"Ce reprezintă dreptul pozitiv?","creație a oamenilor, care se concretizează în legi și alte acte normative",1
17,"Ce reprezintă teoria generală a dreptului ca știință juridică?","ansamblu de reguli și proceduri juridice care se aplică strict instanțelor judecătorești, fiind esențială pentru practicienii din domeniul dreptului, fără a se ocupă de analiza principiilor generale a",0
17,"Ce reprezintă teoria generală a dreptului ca știință juridică?","știință socială, politică și juridică care studiază, în baza unui ansamblu de teorii, concepții, noțiuni cu privire la drept și stat, legitățile generale și speciale referitoare la apariția, evoluția și funcționarea sistemului de drept",1
17,"Ce reprezintă teoria generală a dreptului ca știință juridică?","set de norme specifice pentru fiecare ramură a dreptului, cum ar fi dreptul penal sau dreptul civil, care se ocupă de aplicarea acestora într-un cadru practic",0
18,"Ce cuprinde teoria generală a dreptului ca disciplină didactică?","cuprinde totalitatea de norme juridice ce reglementează procedurile și tehnicile specifice de aplicare a legii",0
18,"Ce cuprinde teoria generală a dreptului ca disciplină didactică?","cuprinde o totalitate de exerciții teoretice și spețe menite să verifice nivelul de pregătire a teoreticienilor",0
18,"Ce cuprinde teoria generală a dreptului ca disciplină didactică?","cuprinde doar un sector de cunoștințe necesare pentru pregătirea și formarea cadrelor juridice, toate materiile fiind expuse în manuale, monografii, prelegeri, articole științifice etc.",1
19,"Care este sarcina disciplinei Teoria Generală a Dreptului?","de a iniția studentul în lumea dreptului",1
19,"Care este sarcina disciplinei Teoria Generală a Dreptului?","de a stabili legitățile apariției și evoluției sistemului de drept",0
19,"Care este sarcina disciplinei Teoria Generală a Dreptului?","de a descoperi procesul de funcționare a statului",0
20,"Care este obiectul de studiu al teoriei generale a dreptului?","normele juridice de drept public și privat",0
20,"Care este obiectul de studiu al teoriei generale a dreptului?","interdependența organică și funcțională dintre stat și drept",1
20,"Care este obiectul de studiu al teoriei generale a dreptului?","istoria apariției și evoluției sistemului de drept",0
21,"Ce metodă de cercetare științifică NU este caracteristică teoriei generale a dreptului?","metoda logică",0
21,"Ce metodă de cercetare științifică NU este caracteristică teoriei generale a dreptului?","metoda comparativă",0
21,"Ce metodă de cercetare științifică NU este caracteristică teoriei generale a dreptului?","metoda sociologică",0
21,"Ce metodă de cercetare științifică NU este caracteristică teoriei generale a dreptului?","metoda observației",1
21,"Ce metodă de cercetare științifică NU este caracteristică teoriei generale a dreptului?","metoda experimentului",0
21,"Ce metodă de cercetare științifică NU este caracteristică teoriei generale a dreptului?","metoda istorică",0
22,"În ce constă metoda logică de cercetare a teoriei generale a dreptului?","totalitatea de procedee și operații metodologice și gnoseologice prin care se crează posibilitatea surprinderii structurii și dinamicii interne a formei și raportului intrinsec, într-un cuvânt - a logicii obiective a dezvoltării sociale ",1
22,"În ce constă metoda logică de cercetare a teoriei generale a dreptului?","totalitatea procedeelor de stabilire a elementelor identice și cele divergente dintre două fenomene, instituții etc.",0
22,"În ce constă metoda logică de cercetare a teoriei generale a dreptului?","totalitatea procedeelor de studiere a dreptului prin stabilirea adevărului și ficțiunii din cadrul unor norme juridice, fenomene etc.",0
23,"În ce constă metoda sociologică de cercetare a teoriei generale a dreptului?","în repetarea fenomenelor care s-au produs înainte și crearea altor noi,cu desprinderea și descrierea detaliată a rezultatului obținut",0
23,"În ce constă metoda sociologică de cercetare a teoriei generale a dreptului?","în studierea fenomenului dreptului prin prisma istoriei evoluției umanității",0
23,"În ce constă metoda sociologică de cercetare a teoriei generale a dreptului?","în analizarea fenomenelor dreptului într-o manieră sumară prin sondaje, anchete sociale, opinie publică",1
24,"Ce reprezintă tehnica juridică?","activitate complexă ce cuprinde norme tehnice clare, accesibile și previzibile, ce au drept scop reglementarea procesului de creare a dreptului",1
24,"Ce reprezintă tehnica juridică?","modul de interpretare și de punere în aplicare a normei juridice",0
24,"Ce reprezintă tehnica juridică?","dispozitivele și mecanismele utilizate în cadrul activității organelor de drept",0
